PID,condition,test_date,dob,age,pair,gender,aab_pre,abb_abs1,aab_abs1,num_stars,update_strat,strat,abb_abs2,aab_abs2
17,Exploration,11/16/2020,3/18/2015,5.661111111,1,M,0,1,1,3,sectioning,randomexp,1,1
18,Demonstration,11/19/2020,3/2/2015,5.713888889,1,M,1,1,1,3,exploiting,exploit,1,1
19,Exploration,11/20/2020,3/1/2015,5.719444444,2,M,1,1,1,3,exploiting,exploit,1,1
20,Demonstration,11/23/2020,7/16/2015,5.352777778,2,M,1,1,1,3,sectioning,semiseq,1,1
21,Exploration,11/24/2020,4/29/2014,6.569444444,3,M,1,1,1,3,exploiting,exploit,1,1
83,Demonstration,2/13/2021,8/20/2014,6.480555556,3,M,1,1,1,3,exploiting,exploit,1,1
23,Exploration,11/25/2020,2/5/2014,6.805555556,4,F,1,1,1,3,exploiting,exploit,1,1
24,Demonstration,11/25/2020,10/9/2014,6.127777778,4,M,1,1,1,3,matching,bigonly,1,1
25,Exploration,11/30/2020,7/23/2015,5.352777778,5,F,1,1,1,2,sectioning,randomexp,1,1
26,Demonstration,11/30/2020,5/11/2015,5.552777778,5,F,1,1,1,2,sectioning,semiseq,1,1
27,Exploration,11/30/2020,7/10/2015,5.388888889,6,M,1,0,1,3,exploiting,exploit,1,1
28,Demonstration,12/1/2020,4/13/2015,5.633333333,6,F,1,1,1,1,sequential,seq,1,0
29,Exploration,12/1/2020,10/23/2015,5.105555556,7,M,1,1,1,2,sectioning,randomexp,1,1
88,Demonstration,2/22/2021,12/2/2015,5.222222222,7,F,1,0,1,3,matching,bigonly,1,1
31,Exploration,12/1/2020,10/25/2015,5.1,8,F,1,1,1,1,sectioning,randomexp,1,1
32,Demonstration,12/2/2020,11/3/2015,5.080555556,8,M,1,1,1,1,sequential,seq,1,1
35,Exploration,12/8/2020,2/24/2016,4.788888889,10,F,0,0,1,2,sequential,backseq,0,1
36,Demonstration,12/8/2020,2/8/2016,4.833333333,10,F,0,1,0,1,sequential,seq,0,0
37,Exploration,12/8/2020,3/17/2016,4.725,11,M,1,1,0,1,sectioning,randomexp,0,0
38,Demonstration,12/9/2020,2/14/2016,4.819444444,11,F,1,1,1,1,sequential,seq,1,1
39,Exploration,12/9/2020,3/22/2016,4.713888889,12,F,1,1,1,3,matching,bigonly,1,1
40,Demonstration,12/9/2020,2/15/2016,4.816666667,12,F,1,0,0,2,matching,bigonly,0,0
41,Exploration,12/10/2020,6/19/2016,4.475,13,M,1,1,1,1,sequential,seq,0,1
85,Demonstration,2/17/2021,8/26/2016,4.475,13,M,1,0,0,2,sequential,backseq,1,0
42,Exploration,12/11/2020,3/13/2016,4.744444444,14,F,1,0,0,1,sectioning,randomexp,0,0
43,Demonstration,12/11/2020,3/13/2016,4.744444444,14,F,1,1,1,1,sectioning,randomexp,0,0
47,Exploration,12/28/2020,10/1/2014,6.241666667,15,M,1,1,1,1,sequential,seq,1,1
48,Demonstration,12/28/2020,10/1/2014,6.241666667,15,M,1,1,1,1,sectioning,semiseq,1,1
52,Exploration,1/8/2021,5/19/2015,5.636111111,16,F,1,1,1,3,matching,bigonly,1,1
56,Demonstration,1/12/2021,6/30/2015,5.533333333,16,M,1,1,1,1,sequential,seq,1,1
53,Exploration,1/8/2021,3/28/2015,5.777777778,17,F,1,0,1,1,sectioning,semiseq,0,1
60,Demonstration,1/14/2021,3/6/2015,5.855555556,17,M,1,1,1,2,sectioning,randomexp,1,1
54,Exploration,1/9/2021,5/13/2016,4.655555556,18,F,0,1,1,1,sequential,seq,1,1
86,Demonstration,2/20/2021,7/7/2016,4.619444444,18,F,1,1,1,3,exploiting,exploit,1,1
55,Exploration,1/11/2021,12/1/2015,5.111111111,19,F,1,1,1,1,sectioning,randomexp,1,1
57,Demonstration,1/13/2021,12/27/2015,5.044444444,19,F,1,1,1,2,sectioning,randomexp,1,1
59,Exploration,1/14/2021,9/11/2015,5.341666667,20,M,1,1,1,2,sectioning,randomexp,1,1
61,Demonstration,1/14/2021,12/13/2015,5.086111111,20,F,1,1,1,2,sequential,backseq,1,1
63,Exploration,1/15/2021,3/25/2015,5.805555556,21,F,1,1,1,3,exploiting,exploit,1,1
87,Demonstration,2/20/2021,5/15/2015,5.763888889,21,M,1,1,1,2,sequential,backseq,1,1
65,Exploration,1/19/2021,6/25/2015,5.566666667,22,F,1,1,1,3,sectioning,randomexp,1,1
66,Demonstration,1/20/2021,5/12/2015,5.688888889,22,M,1,1,1,1,sectioning,randomexp,1,1
67,Exploration,1/20/2021,6/2/2015,5.633333333,23,F,1,1,1,3,matching,bigonly,1,1
74,Demonstration,1/27/2021,5/26/2015,5.669444444,23,F,1,1,1,3,exploiting,exploit,1,1
69,Exploration,1/22/2021,6/28/2014,6.566666667,24,M,1,1,1,3,exploiting,exploit,1,1
77,Demonstration,1/29/2021,9/2/2014,6.408333333,24,M,1,1,1,1,sectioning,randomexp,1,1
70,Exploration,1/23/2021,2/13/2014,6.944444444,25,M,1,1,1,3,matching,randomexp,1,1
72,Demonstration,1/25/2021,4/1/2014,6.816666667,25,M,1,1,1,3,matching,randomexp,1,1
71,Exploration,1/25/2021,11/13/2014,6.2,26,F,1,1,1,1,sectioning,randomexp,1,1
80,Demonstration,2/5/2021,12/8/2014,6.158333333,26,F,1,1,1,3,matching,bigonly,1,1
73,Exploration,1/25/2021,3/1/2014,6.9,27,F,1,1,1,2,sectioning,randomexp,1,1
76,Demonstration,1/29/2021,4/21/2014,6.772222222,27,F,1,1,1,1,sectioning,randomexp,1,1
78,Exploration,2/1/2021,8/20/2014,6.447222222,28,M,1,1,1,3,exploiting,exploit,1,1
79,Demonstration,2/1/2021,9/5/2014,6.405555556,28,F,0,0,1,2,sectioning,randomexp,1,1
81,Exploration,2/5/2021,3/4/2014,6.919444444,29,F,1,0,1,3,exploiting,exploit,1,1
